M  	dmean
475	66.4945
476	67.3753
477	66.7549
478	66.0599
479	65.8137
480	65.2292
481	65.1509
482	62.3317
483	62.4504
484	64.3085
485	64.4926
486	65.6412
487	65.8132
488	67.037
489	66.9845
490	65.2004
491	65.2004
492	67.5992
493	68.25
494	66.3485
495	64.8952
496	65.3722
497	66.2171
498	65.9816
499	64.7511
500	64.7511
501	65.7642
502	65.7848
503	67.5589
504	68.0046
505	67.7729
506	67.6423
507	65.98
508	64.1597
509	64.5014
510	65.2536
511	65.6363
512	67.6097
513	67.5448
514	65.0493
515	65.0493
516	67.7844
517	68.091
518	65.6115
519	64.904
520	63.8618
521	63.3377
522	65.3985
523	66.9967
524	65.3782
525	63.4923
526	64.7393
527	66.805
528	66.0549
529	64.2984
530	64.2397
531	64.0409
532	64.396
533	66.2118
534	66.3584
535	67.5618
536	67.3927
537	64.973
538	64.9606
539	64.4571
540	64.4571
541	67.3099
542	67.3258
543	64.6355
544	64.538
545	66.3473
546	66.4271
547	65.2315
548	65.1695
549	66.8292
550	66.9218
551	66.1011
552	66.0669
553	67.7144
554	67.7666
555	68.1212
556	68.1385
557	68.7606
558	68.5921
559	65.7271
560	65.8536
561	67.1159
562	67.0199
563	66.433
564	66.1841
565	65.1088
566	65.5436
567	66.842
568	66.8842
569	66.9804
570	67.1666
571	67.474
572	66.5761
573	65.5138
574	65.1609
575	64.8748
576	65.0951
577	65.2159
578	66.277
579	66.6455
580	65.6063
581	65.4229
582	67.4477
583	67.0393
584	62.96
585	63.8367
586	66.7588
587	66.2318
588	65.3201
589	65.7012
590	66.0684
591	66.6675
592	66.9977
593	66.5401
594	66.4191
595	66.1557
596	66.2896
597	67.4937
598	67.6557
599	68.0956
600	68.5075
601	69.0463
602	67.2663
603	66.1424
604	68.0505
605	68.5434
606	64.033
607	63.7801
608	62.9231
609	64.7813
610	67.9751
611	67.3062
612	66.8491
613	66.5584
614	66.5041
615	67.6144
616	67.413
617	66.7285
618	64.9876
619	62.8163
620	63.6913
621	65.2609
622	69.3225
623	65.5344
624	63.4953
625	68.0164
626	67.2879
627	65.0824
628	65.2875
629	65.4305
630	66.1421
631	66.5473
632	68.1423
633	67.1411
634	65.9263
635	66.2757
636	66.3725
637	65.0905
638	65.4718
639	66.3255
640	66.6236
641	66.8135
642	66.3067
643	66.6487
644	68.208
645	66.9565
646	65.7394
647	65.5263
648	65.6826
649	67.1028
650	66.3578
651	65.3916
652	65.1877
653	65.1342
654	65.2433
655	65.2051
656	65.153
657	67.11
658	67.3627
659	64.4088
660	64.3358
661	64.2498
662	65.2649
663	65.8147
664	67.3089
665	67.2749
666	67.2445
667	66.6018
668	67.0265
669	68.4825
670	67.3804
671	66.716
672	66.2017
673	65.4114
674	64.1171
675	68.0521
676	68.7369
677	65.244
678	67.1235
679	68.7738
680	64.5
681	64.6815
682	65.7651
683	66.6384
684	66.7899
685	65.7323
686	68.1366
687	70.0842
688	65.7078
689	67.3836
690	70.3543
691	67.627
692	66.6401
693	65.5202
694	64.626
695	64.5512
696	68.1373
697	67.8575
698	67.6103
699	65.3946
700	65.8778
701	66.7361
702	66.5343
703	66.5367
704	66.6419
705	67.9785
706	68.3189
707	67.5569
708	66.7012
709	66.3252
710	67.2063
711	65.9681
712	65.1328
713	67.8534
714	66.4133
715	65.0362
716	68.3326
717	67.1138
718	65.5847
719	68.3001
720	66.927
721	64.7328
722	67.167
723	66.7619
724	65.7192
725	65.6256
726	66.0224
727	66.49
728	66.6047
729	65.7675
730	64.8736
731	67.2318
732	66.7568
733	66.3357
734	68.2483
735	68.9105
736	68.5895
737	65.5662
738	69.0626
739	68.7969
740	64.0479
741	66.2249
742	65.9646
743	64.5998
744	65.3545
745	66.138
746	67.0783
747	63.4161
748	64.6639
749	65.9297
750	62.8305
751	64.4236
752	65.7629
753	67.1539
754	66.6185
755	66.3708
756	66.3589
757	66.411
758	66.1967
759	65.7754
760	67.6838
761	67.3222
762	66.6497
763	65.2278
764	67.9372
765	68.5089
766	62.8667
767	64.8407
768	65.3684
769	65.0012
770	68.0039
771	67.7016
772	66.4903
773	63.5883
774	65.9867
775	66.5426
776	66.2559
777	62.5077
778	65.1306
779	66.779
780	66.8506
781	65.9945
782	64.3654
783	62.636
784	66.9537
785	68.3107
786	68.9096
787	68.2346
788	66.513
789	66.6877
790	67.271
791	67.0741
